Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 16:03:41.770,d7:c3:4a:8c:31:30, 2015-01-01 00:18:19.690, -0.261, -0.056, 0.99, 0, 0, 0, -3.29, 14.821, -72.076, -8.722, 2.352, 3.136, 25.94, -0.80368, -0.0528, -0.121, 0.58014,
 16:03:41.896,d7:c3:4a:8c:31:30, 2015-01-01 00:18:20.080, -0.332, -0.057, 0.989, 0, 0, 0, -3.29, 14.821, -72.076, -8.722, 2.352, 3.136, 25.94, -0.80368, -0.0528, -0.121, 0.58014,
 16:03:41.970,d7:c3:4a:8c:31:30, 2015-01-01 00:18:20.080, -0.047, -0.06, 1.033, 4.822, -37.964, -2.625, -3.252, 14.26, -71.977, -8.722, 2.352, 3.136, 25.94, -0.80368, -0.0528, -0.121, 0.58014,
 16:03:42.096,d7:c3:4a:8c:31:30, 2015-01-01 00:18:20.080, -0.269, -0.088, 1.053, 12.451, -19.775, -7.874, -2.56, 11.448, -72.636, -9.016, 2.254, 3.136, 25.94, -0.80368, -0.0528, -0.121, 0.58014,
 16:03:42.194,d7:c3:4a:8c:31:30, 2015-01-01 00:18:20.080, 0.147, 0.115, 1.075, -0.488, -146.973, 25.33, -2.291, 6.691, -70.708, -9.016, 2.254, 3.136, 25.94, -0.81561, -0.01385, -0.05396, 0.57584,
 16:03:42.239,d7:c3:4a:8c:31:30, 2015-01-01 00:18:20.555, 0.023, 0.093, 1.05, -5.798, -35.095, 71.716, -1.736, 2.258, -65.896, -9.016, 2.254, 3.136, 25.94, -0.81561, -0.01385, -0.05396, 0.57584,
 16:03:42.391,d7:c3:4a:8c:31:30, 2015-01-01 00:18:20.555, 0.019, 0.041, 1.138, -11.414, 9.338, 116.15, -1.862, 1.346, -57.25, -9.016, 2.254, 3.136, 25.94, -0.81561, -0.01385, -0.05396, 0.57584,
 16:03:42.462,d7:c3:4a:8c:31:30, 2015-01-01 00:18:20.555, -1.841, 0.026, 1.108, -2.197, -5.615, 152.222, -2.203, 1.011, -45.406, -9.016, 2.254, 3.136, 25.94, -0.81561, -0.01385, -0.05396, 0.57584,
 16:03:42.602,d7:c3:4a:8c:31:30, 2015-01-01 00:18:20.555, -0.102, 1.89, 8, -33.691, 56.702, 174.133, -2.159, 4.169, -31.448, -8.134, 2.254, 2.450, 25.94, -0.97629, 0.00601, -0.05612, 0.2088,
 16:03:42.673,d7:c3:4a:8c:31:30, 2015-01-01 00:18:20.940, -0.172, 0.33, 1.05, -41.382, 80.078, 179.871, -2.142, 9.921, -17.001, -8.134, 2.254, 2.450, 25.94, -0.97629, 0.00601, -0.05612, 0.2088,
 16:03:42.784,d7:c3:4a:8c:31:30, 2015-01-01 00:18:20.940, -0.54, 0.158, 0.981, -54.321, -24.963, 178.406, -2.538, 13.26, -3.027, -8.134, 2.254, 2.450, 25.94, -0.97629, 0.00601, -0.05612, 0.2088,
 16:03:42.863,d7:c3:4a:8c:31:30, 2015-01-01 00:18:20.940, -0.336, 0.065, 1.004, -37.903, -11.23, 159.912, -2.461, 12.321, 9.553, -8.918, 2.058, 1.764, 25.94, -0.97629, 0.00601, -0.05612, 0.2088,
 16:03:42.973,d7:c3:4a:8c:31:30, 2015-01-01 00:18:20.940, -0.797, 0.166, 1.109, -43.823, -18.433, 160.4, -2.725, 11.596, 21.215, -8.918, 2.058, 1.764, 25.94, -0.97531, 0.043, -0.09396, -0.19495,
 16:03:43.057,d7:c3:4a:8c:31:30, 2015-01-01 00:18:21.300, -0.371, 0.377, 2.216, -94.299, 68.176, 136.902, -3.829, 12.601, 31.729, -8.918, 2.058, 1.764, 25.94, -0.97531, 0.043, -0.09396, -0.19495,
